company_id,week_start,gross_revenue,net_revenue,cancellation_amount,invoice_count,cancellation_count,active_customers,units_sold,top_customer_revenue,top_customer_concentration,cancellation_rate,rolling_4w_revenue,mrr,arr,mrr_change_pct,active_customer_change_pct,financial_feature_source,company_segment,active_users,session_count,events_per_session,generated_outputs,accepted_outputs,regenerated_outputs,acceptance_rate,regeneration_rate,champion_user_rate,frustration_score,avg_session_duration_min,support_ticket_count,synthetic_pressure,behavioral_feature_source,session_duration_change_pct,output_acceptance_score,engagement_score,sentiment_score,champion_user_score,mrr_trend_score,retention_score,concentration_score,capital_ready_rule_score,rule_tier,credit_action,advance_rate_applied,model_version,mrr_change_next_4w,active_customer_change_next_4w,future_cancel_ratio_4w,label_available_4w,bad_outcome_4w,mrr_change_next_8w,active_customer_change_next_8w,future_cancel_ratio_8w,label_available_8w,bad_outcome_8w,mrr_change_next_12w,active_customer_change_next_12w,future_cancel_ratio_12w,label_available_12w,bad_outcome_12w,is_trainable_8w
arx_000,2010-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uci_online_retail_proxy,horizontal_ai_saas,1,3,7.82935390857889,6,5,1,0.8012272804410284,0.19877271955897158,0.37137991181607605,4.600289638789044,18.667639359601008,0,0.05646135294292331,synthetic_arx_behavior_v1,0.0,92.0,92.0,92.0,75.0,92.0,80.94999999999999,92.0,89.79,1,Advance eligible,0.875,canary-hybrid-mvp-v0.1,,,0.0,True,0,,,0.0,True,0,,,0.000777658460008136,True,0,False
arx_000,2010-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uci_online_retail_proxy,horizontal_ai_saas,1,3,8.628774522601402,6,5,1,0.7780663510552812,0.2219336489447188,0.42239820887975843,17.557376897609778,16.38865948679703,1,0.04156067550132044,synthetic_arx_behavior_v1,0.0,92.0,92.0,45.0,92.0,92.0,92.0,92.0,82.6,2,Monitor,0.75,canary-hybrid-mvp-v0.1,,,0.0,True,0,,,0.0,True,0,,,0.000777658460008136,True,0,False
arx_000,2010-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uci_online_retail_proxy,horizontal_ai_saas,1,4,8.345316342592657,8,7,1,0.8188889527149992,0.18111104728500083,0.42006326648903125,13.672125978877073,15.575087010442608,0,0.0706143211723145,synthetic_arx_behavior_v1,0.0,92.0,92.0,45.0,92.0,92.0,92.0,92.0,82.6,2,Monitor,0.75,canary-hybrid-mvp-v0.1,,,0.0,True,0,,,0.001237118843684261,True,0,,,0.000777658460008136,True,0,False
arx_000,2010-12-20,8591.88,8591.88,0.0,2.0,0.0,1.0,6714.0,8591.88,1.0,0.0,2147.97,9332.929649999998,111995.15579999998,0.0,0.0,uci_online_retail_proxy,horizontal_ai_saas,2,6,8.557405393800922,11,7,4,0.6142009236822656,0.38579907631773436,0.36390662376919747,46.710325562813516,12.80813787560929,2,0.6177493990079974,synthetic_arx_behavior_v1,0.0,75.0,92.0,18.0,75.0,92.0,80.94999999999999,18.0,59.64,3,Review,0.575,canary-hybrid-mvp-v0.1,2.0815933183424353,0.0,0.0,True,0,-0.8479634259323919,,0.0016196978291729896,True,1,1.5013361452906704,,0.0009132579482868701,True,0,True
arx_000,2010-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147.97,9332.929649999998,111995.15579999998,0.0,0.0,uci_online_retail_proxy,horizontal_ai_saas,1,4,7.905196494664626,8,6,2,0.7221939952869918,0.2778060047130082,0.466685413642133,5.778874844561361,14.60166894638198,1,0.14217915114493995,synthetic_arx_behavior_v1,-0.2178084938804995,92.0,18.0,75.0,92.0,92.0,92.0,92.0,73.8,2,Monitor,0.75,canary-hybrid-mvp-v0.1,2.0815933183424353,,0.0,True,0,1.6533727193582783,,0.0009132579482868701,True,0,-0.8361406351112911,,0.0008878891914289097,True,1,True
arx_000,2011-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2147.97,9332.929649999998,111995.15579999998,0.0,0.0,uci_online_retail_proxy,horizontal_ai_saas,1,3,7.122020194252598,6,4,2,0.7199549315805527,0.2800450684194473,0.3575861761600892,21.78862055386154,15.586707636059328,1,0.14179292525021475,synthetic_arx_behavior_v1,-0.0489333402395582,92.0,75.0,18.0,75.0,92.0,80.94999999999999,92.0,71.59,2,Monitor,0.75,canary-hybrid-mvp-v0.1,2.0815933183424353,,0.0,True,0,1.6533727193582783,,0.0009132579482868701,True,0,1.4979864709469877,,0.0006361634312337018,True,0,True
arx_000,2011-01-10,10389.06,10389.06,0.0,1.0,0.0,1.0,8210.0,10389.06,1.0,0.0,4745.235,20618.046075,247416.55289999998,0.0,0.0,uci_online_retail_proxy,horizontal_ai_saas,3,9,8.205013685024648,17,13,4,0.7708550223056951,0.22914497769430486,0.3672843749454128,21.72939926770088,16.949126419024566,0,0.18970477997266733,synthetic_arx_behavior_v1,0.08822033595450907,92.0,92.0,18.0,75.0,92.0,80.94999999999999,18.0,63.89,3,Review,0.575,canary-hybrid-mvp-v0.1,-0.08361229738885434,0.0,0.002587113873254417,True,0,0.13225056293313187,,0.0011572562021217392,True,0,0.25107607947762345,0.0,0.0007184862357196869,True,0,True
arx_000,2011-01-17,16087.619999999999,16087.619999999999,0.0,3.0,0.0,1.0,12090.0,16087.619999999999,1.0,0.0,6619.17,28760.29365,345123.52379999997,2.0815933183424353,0.0,uci_online_retail_proxy,horizontal_ai_saas,3,10,7.6988991738749,19,15,4,0.7685274053268456,0.2314725946731544,0.2611837888360583,25.02687812776042,16.60783013066271,0,0.40843900403874633,synthetic_arx_behavior_v1,0.2966623479506123,92.0,92.0,18.0,75.0,92.0,80.94999999999999,18.0,63.89,3,Review,0.575,canary-hybrid-mvp-v0.1,-0.9506629985330487,,0.03444896959304284,True,1,-0.18829777751591215,,0.0019739041103701903,True,1,-0.10311262590324766,,0.0009668258420086258,True,0,True
arx_000,2011-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6619.17,28760.29365,345123.52379999997,2.0815933183424353,0.0,uci_online_retail_proxy,horizontal_ai_saas,1,3,8.29866805778864,6,4,2,0.6399372805165892,0.36006271948341084,0.23783561155666652,41.37490396018198,13.790004290667884,1,0.6242078069807185,synthetic_arx_behavior_v1,-0.05558711532870442,75.0,45.0,18.0,45.0,92.0,61.449999999999996,92.0,57.44,3,Review,0.575,canary-hybrid-mvp-v0.1,-0.13896077604896084,,0.0019739041103701903,True,0,-0.946826414792187,,0.001859095438523432,True,1,-0.15628621111106078,,0.0009668258420086258,True,1,True
arx_000,2011-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6619.17,28760.29365,345123.52379999997,2.0815933183424353,0.0,uci_online_retail_proxy,horizontal_ai_saas,1,3,8.845668393717345,6,5,1,0.7559281330613873,0.2440718669386127,0.3897643721063124,20.93737739711493,12.211573187052828,0,0.1957771408788933,synthetic_arx_behavior_v1,-0.21653927999510558,92.0,18.0,18.0,75.0,92.0,80.94999999999999,92.0,60.19,3,Review,0.575,canary-hybrid-mvp-v0.1,-0.13896077604896084,,0.0019739041103701903,True,0,-0.18938477180673707,,0.0010167226014723048,True,1,-0.8875780498159135,,0.000952654752413498,True,1,True
